id,labels
U494,"hong kong, northeastern university (cn), da cheng international asset management company limited, da cheng fund management company limited, microsoft"
U495,"china, hunan university, xi'an jiaotong-liverpool university, macao polytechnic institute"
U496,"greater los angeles area, university of illinois at urbana-champaign"
U497,"turin area italy, harbin institute of technology, politecnico di torino"
U490,"beijing city china, wuhan university, pwc, ericsson, monster"
U491,"london united kingdom, chinese university of hong kong, imperial college london, arm, mosway semiconductor limited"
U492,hong kong
U493,"hong kong, zhejiang university, baidu, chinese university of hong kong, google, microsoft, national university of singapore"
U681,hong kong
U1995,"san francisco bay area, university of science and technology of china, yahoo! inc., hermes microvision inc., fastvdo inc., siemens corporate research, eastman kodak"
U1994,hong kong
U26647,"hong kong, sun yat-sen university, psl group, department of computer science hkbu, hong kong business consulting, vins information system co. ltd gz china, mortgage credit dept. cmbc gz china, technology dept. cmbc gz china"
U26646,"china, xidian university, microsoft research asia"
U26645,"greater seattle area, zhejiang university, microsoft, appfirst inc., google"
U26644,china
U26643,china
U26642,"cambridge united kingdom, &#x6d59;&#x6c5f;&#x5927;&#x5b66;, oliver zangwill centre for neuropsychological rehabilitation, university of cambridge"
U26641,china
U26640,china
U588,"zürich area switzerland, fudan university, google, university of kansas, george washington university, simon fraser university"
U26649,hong kong
U26648,singapore
U27132,
U2530,"san francisco bay area, peking university, microsoft, yahoo!, facebook, nokia"
U26588,hong kong
U26589,"hong kong, chinese university of hong kong, fubon bank"
U584,urbana-champaign illinois area
U585,"hong kong, shanghai jiaotong university, duke university, chinese university of hong kong, huawei, cisco systems, 2010"
U582,slovak republic
U583,san francisco bay area
U629,china
U628,"washington d.c. metro area, chinese university of hong kong, university of maryland"
U26580,hong kong
U26581,"china, south china university of technology, google"
U26582,china
U26583,"hong kong, chinese university of hong kong, 1.618 limited, hudson"
U26584,china
U26585,"beijing city china, peking university, emc, internet association of peking university, cjnov beijing (startup), innovation works"
U621,"san francisco bay area, sun yat-sen university, nvidia"
U620,"san francisco bay area, zhejiang university, synopsys, university of illinois at urbana-champaign, chinese university of hong kong"
U533,"hong kong, sun yat-sen university, chinese university of hong kong"
U532,"hong kong, shanghai jiao tong university, chinese university of hong kong, uc santa barbara, huawei, intel corporation"
U531,"hong kong, peking university, chinese university of hong kong, national university of singapore"
U10506,greater seattle area
U537,"urbana-champaign illinois area, tianjin normal university, china executive leadership program, chinese heritage association, english grammar class, ikenberry commons sdrp, special english class, english phonology class, reading partners, no.2 middle school of xinxiang, st. edmunds college university of cambridge, high school attached to nankai university, annual meeting of new champions"
U536,"hong kong, sun yat-sen university, faculty of education university of hong kong, chinese university of hong kong"
U535,"des moines iowa area, shanghai jiao tong university, oracle, cadence design systems, synopsys, broadcom"
U11707,greater seattle area
U539,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, siemens ltd, mcc capital engineering &amp; research incorporation ltd."
U538,hong kong
U10509,"san francisco bay area, fudan university, uc berkeley haas school of business, cheersbay.com"
U593,"hong kong, fudan university, chinese university of hong kong, synopsys, fudan university"
U692,greater chicago area
U693,"greater new york city area, hobart and william smith colleges, freelance, m-sika, flash purchase llc, geneva neighborhood resource center, rochester museum &amp; science center"
U690,"san francisco bay area, huazhong university of science and technology, cadence design systems, iowa state university, xilinx research labs, cadence research labs"
U691,"china, sun yat-sen university, facebook, yahoo!, microsoft research asia, microsoft search technology center asia, zhejiang university"
U696,"greater los angeles area, beihang university, ucla, university of california los angeles | department of electrical engineering, ibm, tsinghua university"
U697,hong kong
U694,"san francisco bay area, shanghai jiao tong university, stanford university, chinese university of hong kong, shanghai jiao tong university"
U695,"greater seattle area, university of illinois at urbana-champaign, university of nottingham, amazon, university of illinois at urbana-champaign, apt-hire, global china connection"
U599,hong kong
U598,china
U219,beijing city china
U26609,"china, china agricultural university, badu inc."
U26608,guangzhou city china
U26603,"china, beijing normal university, tencent, microsoft research asia"
U26602,london united kingdom
U26601,"china, university of science and technology of china, wuhan university, city university of hong kong"
U26600,bryan college station texas area
U26607,san francisco bay area
U26606,china
U26605,china
U26604,hong kong
U554,"urbana-champaign illinois area, shandong university"
U548,"madison wisconsin area, microsoft jim gray systems lab"
U549,"china, zhejiang university, sinowisdom capital, huatai-pinebridge, nielsen company"
U658,guangzhou city china
U542,san francisco bay area
U543,"hong kong, sun yat-sen university, lan kwai fong properties lan kwai fong group, k11 concepts limited (member of new world group), sino group, swire properties"
U540,"toronto canada area, university of science and technology of china, ibm canada ltd., acceleware, university of alberta, joyin hefei"
U541,urbana-champaign illinois area
U546,"guangzhou city china, south china university of technology, tencent, microsoft research asia (msra), ericsson"
U547,"hong kong, fudan university, ucla, chinese university of hong kong"
U544,beijing city china
U545,china
U2035,"hong kong, chinese university of hong kong, chinese university of hong kong, baidu inc., asm"
U2034,"hong kong, california institute of technology, chinese university of hong kong, international neural network society (inns), asia pacific neural network assembly (apnna), acm transactions on knowledge discovery from data (acm tkdd), hong kong institution of engineers, uc berkeley, at&amp;t labs-research, ieee transactions on neural networks"
U2032,san francisco bay area
U652,"portland oregon area, zhejiang university, intel corporation, mentor graphics, university of michigan"
U653,greater los angeles area
U26553,china
U26552,shenzhen city china
U26551,"china, university of science and technology of china, chi-courser investment management co. ltd., beijing azure investment co. ltd., lightinthebox (nyse:litb), microsoft research asia (nasdaq:msft)"
U26550,"beijing city china, zhejiang university, umeng, baidu inc., vobile, microsoft research asia"
U26557,hong kong
U26556,greater seattle area
U26555,san francisco bay area
U26554,"singapore, harbin institute of technology, institute for infocomm research, microsoft research asia"
U26559,Ålborg area denmark
U26558,china
U1968,"allentown pennsylvania area, lehigh university, web-caching.com, davison computer services"
U1963,hong kong
U1967,"singapore, nanyang technological university"
U663,china
U662,shenzhen city china
U661,"syracuse new york area, sun yat-sen university, department of mathematics syracuse university, china minsheng banking corp.ltd"
U660,"china, sun yat-sen university, netapp, lsi corporation server and storage group, dell china co. ltd advance system group"
U667,"gainesville florida area, huazhong university of science and technology, unversity of florida, chinese university of hong kong"
U666,"san francisco bay area, sun yat-sen university, facebook"
U665,"kitchener canada area, sun yat-sen university, city university of hong kong"
U664,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U669,"shanghai city china, fudan university, intel apac r&amp;d ltd., kingnet security inc., chinasiteup, shanghai tongji wst software co. ltd., information highway communication co. ltd., shanghai bell alcatel mobile communication system co. ltd."
U668,"austin texas area, xi'an jiaotong university, slip workshop, ibm, ieee ceda chapter of central texas section, ieee ssc cas joint chapter of central texas section, ieee central texas section, design automation conference, iccad, acm sigda ph.d. forum at dac, ieee cts cas ssc ceda &quot;data parallelism for multi-core chips and gpu&quot;, sasimi (workshop on synthesis and system integration of mixed information technologies), date, iccd, src techon, pextra corporation"
U505,urbana-champaign illinois area
U500,"greater los angeles area, wuhan university, google"
U489,"shanghai city china, sun yat-sen university, shanghai baihong trading co. ltd, mmmooo"
U488,edmonton canada area
U487,"greater boston area, sun yat-sen university, tufts university, ibm research, overseatalents, amway, people's daily, guangdong entry-exit inspection and quarantine bureau"
U486,"urbana-champaign illinois area, sun yat-sen university, nvidia, university of illinois at urbana-champaign, chinese university of hong kong, ericsson mobile data applications technology research and development(guangzhou) co. ltd. (cgc)"
U1986,china
U1980,"hong kong, northeast normal university, chinese university of hong kong, alibaba.com"
U1988,"trondheim area norway, northwestern polytechnical university, ntnu, carnegie mellon university, chinese university of hong kong"
U26632,"greater los angeles area, ucla anderson school of management, beijing university (peking university), goldman sachs, pricewaterhousecoopers, ubs securities co. ltd, tarshi"
U26633,china
U26630,"greater los angeles area, zhejiang university"
U26631,taiwan
U26636,china
U26637,china
U26634,china
U26635,"hong kong, xidian university, city university of hong kong"
U26638,"china, university of science and technology of china, institute of software application technology guangzhou &amp; chinese academy of sciences (gzis), hong kong polytechnic university, microsoft research asia"
