id,labels
U1924,"urbana-champaign illinois area, university of illinois at urbana-champaign, shanghai jiao tong university, university of new mexico, hong kong university of science and technology, university of illinois at urbana-champaign, microsoft, yelp.com, facebook, google, mind institute"
U3253,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign, microsoft, facebook, tsinghua universtiy, anrg group university of southern california"
U1921,"armenia, tsinghua university"
U6369,"china, fudan university, paiqoo.com, yitalent.com, anncareer consulting, lenovo mobile"
U695,"greater seattle area, university of illinois at urbana-champaign, university of nottingham, amazon, university of illinois at urbana-champaign, apt-hire, global china connection"
U3258,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U6164,"phoenix arizona area, shanghai jiao tong university, us airways, arizona state university, arrowhead health pain-mds.com, shanghai jiao tong university"
U9761,"urbana-champaign illinois area, bangladesh university of engineering and technology, ischool uiuc usa, riverbed technology, boeing research and technology usa (in collaboration with cs uiuc), direct supply, bangladesh university of engineering &amp; technology"
U9182,"greater seattle area, university of illinois at urbana-champaign, chinese university of hong kong, renmin university of china, microsoft research"
U9181,"urbana-champaign illinois area, university of mumbai, university of illinois at urbana-champaign, nec laboratories america, microsoft, ibm, yahoo!, webaroo"
U19447,"greater boston area, university of illinois at urbana-champaign, vistaprint, cygnas corporation"
U26181,"orlando florida area, shanghai jiao tong university, convergys"
U2442,"greater san diego area, zhejiang university, ricoh innovations inc., uc san diego"
U2440,"urbana-champaign illinois area, peking university, university of illinois at urbana-champaign, linkedin, google, microsoft"
U2441,"urbana-champaign illinois area, zhejiang university, fireeye, uc berkeley, university of illinois at urbana-champaign, intel shanghai"
U5599,"urbana-champaign illinois area, national taiwan university, microsoft inc, google inc"
U2445,"san francisco bay area, intel labs"
U5595,"urbana-champaign illinois area, national chiao tung university, university of illinois urbana-champaign, microsoft research"
U2448,"urbana-champaign illinois area, xiamen university, university of illinois at urbana-champaign, xiamen university"
U2449,"urbana-champaign illinois area, university of illinois at urbana-champaign - college of business, nanjing normal university"
U848,"san francisco bay area, backplane"
U26210,"shanghai city china, shanghai jiao tong university, fudan university, marvell semiconductor, microsoft"
U26211,"san francisco bay area, shanghai jiao tong university, oracle, dartmouth college"
U26212,"san francisco bay area, google"
U26213,"san francisco bay area, east china normal university software engineering institute, apple, university of pittsburgh school of information science, haoban digital co."
U26214,"china, shanghai jiao tong university, tencent"
U26215,"san francisco bay area, tsinghua university, facebook"
U26216,"shanghai city china, marvell"
U26217,china
U26218,urbana-champaign illinois area
U26219,"urbana-champaign illinois area, university of illinois at urbana-champaign, honda civic marketing challenge, national student advertising competition, international student and scholar services, ascend, general motors, chinese academy of agricultural sciences"
U992,"urbana-champaign illinois area, seoul national university, university of illinois at urbana-champaign"
U9335,"san francisco bay area, nanjing university, ipinyou, bluekai, google, ibm t. j. watson research center, microsoft research redmond"
U6078,"urbana-champaign illinois area, university of science and technology of china, university of illinois at urbana-champaign, chinese students &amp; scholars association - university of illinois at urbana champaign, university of science and technology of china"
U9232,"san francisco bay area, tsinghua university, identified, facebook, sap"
U13688,"greater new york city area, bilkent &#xdc;niversitesi, stony brook university, carnegie mellon university, ibm t. j. watson research center, microsoft corporation"
U10318,"dallas fort worth area, university of illinois at urbana-champaign, nanjing university, university of texas at arlington, university of illinois at urbana-champaign, ibm thomas j. watson research center, bell labs"
U19525,"san francisco bay area, twitter"
U16611,"greater chicago area, university of illinois at urbana-champaign, midnight oil advertising, university of illinois college of agricultural consumer and environmental sciences, disruptive retail thinking llc, unit for criticism &amp; interpretive theory, illini media, bizware inc."
U19527,"china, tsinghua university, towers watson, pricewaterhousecoopers"
U19522,"san francisco bay area, yahoo"
U19523,"urbana-champaign illinois area, fudan university, university of illinois at urbana-champaign, microsoft, google, chinese academy of sciences"
U2540,"san francisco bay area, university of science and technology of china, facebook, yahoo!, university of illinois at urbana-champaign"
U10543,"urbana-champaign illinois area, chinese university of hong kong"
U11660,"greater boston area, tsinghua university, lexisnexis"
U23996,"dallas fort worth area, southern methodist university - cox school of business, verizon, mit club of dallas &amp; fort worth"
U6127,"toronto canada area, tsinghua university, mcmaster university, caterpillar inc. at peoria proving ground"
U6128,"greater boston area, zhejiang university, novartis-mit center for continuous manufacturing, massachusetts institute of technology, university of illinois at urbana-champaign, eli lilly and company, zhejiang university"
U25770,"united states, nanjing university, vmware, nanjing university alumni association at san francisco bay area, ibm almaden research center"
U2467,"greater new york city area, peking university, philips, university of illinois at urbana-champaign, oak ridge national laboratory"
U17541,"urbana-champaign illinois area, tsinghua university, hci group computer science department uiuc, university of illinois at urbana champaign, interactive cognition lab human factors division university of illinois at urbana-champaign, palo alto research center, human computer interaction lab tsinghua university, netease com inc"
U8558,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U26174,"greater boston area, tsinghua university, vmware, mathworks, women in electrical and computer engineering university of maryland college park, university of maryland institute for advanced computer studies, texas instruments, national cancer institute, microsoft"
U11651,"greater los angeles area, tsinghua university, gwangju institute of science and technology, university of wisconsin-madison, industrial light &amp; magic lucasfilm entertainment company ltd., mitsubishi electric research laboratories, microsoft research"
U26177,"san francisco bay area, harvey mudd college, yelp, center for spoken language understanding at ohsu, metaweb technologies inc."
U26254,"beijing city china, conservatoire national des arts et m&#xe9;tiers, tsinghua university, jobmet, goldentophr &amp; manpower, cebm group, ibm, microsoft, hsbc, dell"
U26255,"greater philadelphia area, shanghai jiao tong university, university of delaware"
U26256,"greater atlanta area, goizueta business school emory university, shanghai jiao tong university, goizueta business school, whirlpool corporation, cooper industries"
U26257,"san francisco bay area, middle tennessee state university, university of tennessee at chattanooga, oneten technologies (skyfirm llc), vanderbilt mortgage &amp; finance inc, american home improvements, educational marketing group inc."
U26250,"paris area france, dimelo"
U26251,beijing city china
U26252,"china, shanghai jiao tong university, sap, pwc consulting"
U26253,"vancouver canada area, university of british columbia"
U26258,"hartford connecticut area, soochow university (cn), aetna, infosys"
U26259,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U4306,"greater new york city area, shanghai jiao tong university, columbia university information technology, procter &amp; gamble, canon inc., china citic bank"
U4305,"san francisco bay area, shanghai jiao tong university, linkedin, computer science department ucla, microsoft research asia, emc, ebay"
U28901,"san francisco bay area, university of mumbai, twitter, microsoft, national center for supercomputing applications uiuc"
U26159,"urbana-champaign illinois area, university of illinois at urbana-champaign - college of business"
U26158,"san francisco bay area, case western reserve university, graffiti labs, yelp.com, independent, apple inc., space train, mimvista corp., infusion partners"
U26157,"san francisco bay area, university of texas at austin, yelp.com, green hills software, applied research labs"
U26156,"san francisco bay area, harvey mudd college, yelp, citadel investment group, harvey mudd college, microsoft research india"
U26155,"san francisco bay area, university of wisconsin-madison - school of business, triggit, yelp, pricewaterhousecoopers, kimberly-clark"
U26154,"greater chicago area, university of illinois at urbana-champaign, rotary international, illinois business consulting, servant financial, four seasons house, university of chicago"
U26153,"san francisco bay area, university of california berkeley, google, yelp.com, department of computer science uc berkeley, uc berkeley student learning center, outspokes inc., solano community college mathematics activities center"
U26152,"beijing city china, beijing foreign study university, microsoft, beyondsoft consulting inc, hudson, zhaopin.com, vanceinfo, chinahr- present monster"
U26151,"shanghai city china, microsoft"
U26150,"san francisco bay area, vayable"
U28869,"san francisco bay area, baidu inc."
U897,"greater chicago area, university of illinois at urbana-champaign, ernst and young"
